subject_id,label,source_file,channel,window_index,start_s,end_s,annotation_event,annotation_stage,annotation_location,signal_transform,n_samples,duration_s,mean,std,min,max,ptp,rms,line_length,zero_crossing_rate,sample_entropy,skewness,kurtosis,hjorth_mobility,hjorth_complexity,bp_delta,rel_bp_delta,bp_theta,rel_bp_theta,bp_alpha,rel_bp_alpha,bp_beta,rel_bp_beta,rectified_mean,rectified_std,envelope_mean,envelope_std,envelope_cv,burst_fraction,burst_rate_hz,p95_abs,ratio_theta_beta,ratio_alpha_beta,ratio_alpha_delta,relative_time_quantile,time_match_rank,evt_active_fraction,evt_burst_duration_median_s,evt_interburst_gap_median_s
brux1,bruxism,brux1.edf,EMG1-EMG2,3,3500.0,3530.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,2.9312363306285474,4.271645715003495e-05,-0.0003399628511261,402.7677419354586,289.59793814432385,4.281691591977996e-05,1.2062871016016425,-6.601918465227807,0.2121959364861353,4.389066188440416,74.86966498890267,0.5362443790300159,3.2148165964689586,1.5759194046089374e-06,0.3642204603889178,1.3403268055892993e-06,0.3097712007197996,9.344080557013774e-07,0.2159568130472522,4.756770165457958e-07,0.1099366512373954,11.001730832987095,39.90104721460051,11.000631789177621,29.867986225496324,106.42331415841655,0.0384114583333333,0.6333333333333333,28.5302293699308,2.817724546210568,1.9643750343178863,0.5929288344115857,0.1153846153846153,1,0.839453125,1.1015625,0.1767578125
brux1,bruxism,brux1.edf,EMG1-EMG2,5,3560.0,3590.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,2.524886486516129,3.569156523744221e-05,-0.0002999205438564,402.7677419354586,280.58075601372406,3.5780766511140875e-05,0.73883693891835,-6.347721822541958,0.2426975078679793,5.46923563636078,104.05050653497396,0.5307251691407513,3.3690737254747054,1.656447797533936e-06,0.4470968669055276,1.102656588998406e-06,0.297621396187599,6.752771295293017e-07,0.1822661054305416,2.704268832758136e-07,0.0729917431866222,9.230341755397196,33.09717006280091,9.206499015026282,26.0731510598353,109.0678632113838,0.0399739583333333,0.6666666666666666,24.48011345467419,4.0774666173768885,2.497078401930084,0.407665807841715,0.1923076923076923,2,0.6723958333333333,0.759765625,0.3564453125
brux1,bruxism,brux1.edf,EMG1-EMG2,7,4370.0,4400.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,2.3785909256403364,3.725753053649417e-05,-0.000418643543307,385.8387096774071,298.2989690721615,3.733338487486652e-05,0.9899402860062974,-5.995203836930447,0.227724077675554,3.781776743257432,100.35739167702437,0.5460023406664896,3.315181825634776,1.2274001897568212e-06,0.2825754674388782,2.3214137534306944e-06,0.5344422967904904,4.483848270435806e-07,0.103228395393554,3.461809934301888e-07,0.0796987460596465,8.71720969302773,34.879649078270994,8.713156269874919,26.691927464281033,117.68189284822101,0.0297526041666666,0.5,18.0242163477862,6.705780494846355,1.2952323655920246,0.3653126590541075,0.2692307692307692,3,0.7248046875,0.6640625,0.1923828125
brux1,bruxism,brux1.edf,EMG1-EMG2,10,6050.0,6080.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,-0.0007014048241698643,1.814827852466001e-06,-7.080651895257278e-06,0.496774193548387,0.3676975945017183,1.814827961082752e-06,0.13419394894292858,0.9184652278177451,2.07738817586632,-0.058292262730772,0.1913983767948819,0.6886680154350713,1.400275419336651,3.6217001846960273e-12,0.0014187092485877,7.680384341263544e-11,0.0300859589197976,1.5926643410733274e-10,0.0623885886558063,2.3079909929580157e-09,0.9040969711416058,0.14088530504534438,0.11030293223463858,0.14038018052223591,-0.0058273058742985525,-0.6409959991750747,0.1610026041666666,41.16666666666666,0.3505792191696423,0.0332773583809356,0.0690065232460939,43.9755987478848,0.3846153846153846,4,0.3658203125,0.3955078125,0.494140625
brux1,bruxism,brux1.edf,EMG1-EMG2,12,8750.0,8780.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,5.960947514198535e-06,1.2778429765765293e-06,-5.40204907526094e-06,-0.9354838709677419,-0.7731958762886602,1.2778429790482568e-06,-0.8977774914265394,0.09832134292566075,2.0369588429422625,0.0477860335308721,0.0999436806690843,0.6241915012739059,0.0,3.721798798998754e-12,0.0020644030573687,8.646797024360745e-11,0.0479619538228122,1.6692879054362478e-10,0.0925918686560487,1.5433208851011387e-09,0.8560474452732381,-0.27496506720347713,-0.229684047628122,-0.27441978858857996,-0.05789228793543501,-0.31617934569064376,0.1586588541666666,37.266666666666666,-0.7170741682021764,0.0560272144816733,0.1081620757906645,44.85164286380347,0.4615384615384615,5,0.0,0.0,3.0
brux1,bruxism,brux1.edf,EMG1-EMG2,14,8870.0,8900.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,-0.0003119562532426871,1.0781647591156514e-06,-4.48644753708112e-06,-1.0645161290322582,-1.048109965635739,1.078164785481117e-06,-1.3022453515921246,-0.14148681055155948,2.1784602652502425,0.1029332691048243,0.785676112330743,0.5941766176625548,0.0,4.081695145685289e-12,0.0026699700931362,7.204976902513294e-11,0.0471301068914544,1.1989035456903483e-10,0.0784241962541469,1.3284171582882703e-09,0.8689610461447662,-0.45984909088293724,-0.31826813606369586,-0.458988175876449,0.0058273058742985525,4.818152371311008,0.1498697916666666,31.73333333333333,-1.0224336395291618,0.054237306839647,0.090250531484793,29.37268715322101,0.5384615384615384,6,0.0083984375,0.251953125,3.0
brux1,bruxism,brux1.edf,EMG1-EMG2,16,9770.0,9800.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,-0.0002483728130913134,1.456970991005525e-06,-6.165050357077457e-06,-0.496774193548387,-0.3676975945017183,1.4569710014978692e-06,-0.13419394894292858,2.1342925659472414,2.17698175616266,-0.018583767318868,0.2401575477257496,0.7826040068260118,1.3860632459624025,7.396118958096908e-12,0.0046264578005546,7.157832309421636e-11,0.0447740352887818,9.998904931643992e-11,0.062545656688453,1.4189065869044043e-09,0.8875616366413046,-0.1408853050453446,-0.1103029322346388,-0.1403801805222357,-0.05496973048626102,-1.01091010219075,0.15390625,43.5,-0.3505792191696423,0.0504461137574793,0.0704690853078522,13.519124000429551,0.6153846153846154,7,0.06334635416666666,0.37109375,1.162109375
brux1,bruxism,brux1.edf,EMG1-EMG2,19,10190.0,10220.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,0.0008544024770341226,1.1927307243492646e-06,-4.211767075627174e-06,-0.7677419354838707,-0.9518900343642609,1.192731085301204e-06,-1.0100597139937026,0.32134292565947364,2.2341137350524103,0.0948297318026383,0.1761368975112249,0.6297640129710961,0.0,4.123816000798672e-12,0.0025073190827613,9.259162954775607e-11,0.0562965854015063,1.0855613711613904e-10,0.0660031568065696,1.4368356330523564e-09,0.8736096374925474,-0.3479955235686767,-0.27440748735373643,-0.3472808474802136,-0.07049906121221891,-0.4008721190708835,0.1633463541666666,38.03333333333333,-0.8686670244355809,0.0644413511314847,0.0755522306232945,26.324195137492712,0.7307692307692307,8,0.0,0.0,3.0
brux1,bruxism,brux1.edf,EMG1-EMG2,21,10250.0,10280.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,-0.00039739650094609895,1.1945584877052524e-06,-5.005288408716352e-06,-0.7419354838709679,-0.7594501718213066,1.1945585316114549e-06,-1.0783661970181049,-0.09832134292565972,2.517882631763941,0.0997145596717266,0.3381461610812617,0.6082056767357843,0.0,5.682727670038039e-12,0.003286697133478,9.228621459790048e-11,0.0533752195407293,1.5455804015931774e-10,0.0893911334562001,1.4718132856524352e-09,0.8512469341921428,-0.34809202442693477,-0.27132295204446943,-0.347312403558105,-0.05602535175846896,0.31617934569064376,0.1572265625,35.03333333333333,-0.8393987721409012,0.0627023926863054,0.1050119887257331,27.197861508342022,0.8076923076923077,9,0.0,0.0,3.0
brux1,bruxism,brux1.edf,EMG1-EMG2,23,12020.0,12050.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,-5.960947514198548e-06,2.743860624039417e-06,-1.0834618201794545e-05,1.206451612903226,1.591065292096221,2.7438606248710933e-06,1.8038956132618371,1.081534772182255,2.067196157503676,-0.0230095385846251,0.071080645553522,0.7131129110282759,1.3772263638639082,1.5821911480824042e-11,0.0030724746126296,1.0447402989505472e-10,0.0202879282266686,1.4152341927835582e-10,0.027482590415974,4.8664506818157355e-09,0.9450214780694872,0.892604394124113,0.656903854220754,0.8914214276940694,0.08492603960931687,-0.9890898978092499,0.158203125,41.93333333333333,2.182342624595617,0.0214682191859949,0.029081445293832,8.944773799921737,0.8846153846153846,10,0.9845052083333333,4.4375,0.08984375
